latitude	longitude	altitude	geometry	coordinates	OBJECTID	CODE	GIS_PIN	GlobalID	GISPINOLD	SHAPE_Leng	ShapeSTArea	ShapeSTLength	Bldg_Type												
			Polygon	-72.71431788155357,41.74722886448709,-72.71429409168252,41.74730866105006,-72.71429111679173,41.747318649341096,-72.71430562989507,41.74731758355857,-72.71512438217128,41.7472572674565,-72.71513687854741,41.747256365617176,-72.71513871087777,41.74725620151342,-72.71513865383689,41.747255664824245,-72.71513856501298,41.7472548293066,-72.715121191993,41.74712510155528,-72.71512119199065,41.74712510153765,-72.71511979944987,41.74712521088676,-72.71509832474797,41.74712682352418,-72.71456827306798,41.74716661798083,-72.71436913705625,41.74718156878315,-72.71433113483528,41.74718441110333,-72.71431788155357,41.74722886448709	182611	PIN	116474002		301001010		10734.54974	547.2260982	Old Style												
			Polygon	-72.71441075245494,41.747538558719604,-72.7145848116509,41.747546872579036,-72.71458547124587,41.747546900224386,-72.71460939981402,41.747548032723856,-72.7146051747022,41.7475701229522,-72.71460462220081,41.747573196386085,-72.71461902379579,41.74757300870241,-72.71511923173654,41.74756662957747,-72.71513359666875,41.747566469261336,-72.71514722871547,41.74756628127919,-72.71515344682756,41.747451599330326,-72.7151555907107,41.747412392932056,-72.71515674064437,41.74739136317783,-72.71514823385284,41.74732759124596,-72.71513871087777,41.74725620151342,-72.71513687854741,41.747256365617176,-72.71512438217128,41.7472572674565,-72.71430562989507,41.74731758355857,-72.71429111679173,41.747318649341096,-72.71423087201377,41.74752072011128,-72.71422819198504,41.747529665661865,-72.71422815524902,41.74752983030776,-72.71438697051907,41.7475373438955,-72.71441075245494,41.747538558719604	182664	PIN	116474001		301001011		23895.34442	686.1558706	RES STR												
			Polygon	-72.71460462220081,41.747573196386085,-72.71458044043791,41.747699892774214,-72.71462518419084,41.747699714398955,-72.7150430489609,41.747698222609046,-72.71510171785731,41.747698021681174,-72.71512894519906,41.74769794672587,-72.71514004867217,41.747697922637755,-72.71514004867304,41.74769792262179,-72.71514600734201,41.74758870174109,-72.71514662457257,41.747577371511184,-72.71514722871547,41.74756628127919,-72.71513359666875,41.747566469261336,-72.71511923173654,41.74756662957747,-72.71461902379579,41.74757300870241,-72.71460462220081,41.747573196386085	182694	PIN	115474008		301001012		7070.363831	395.4502278	Two Family												
			Polygon	-72.71458044043791,41.747699892774214,-72.71457952166733,41.7477047224402,-72.71455379614014,41.74783976098205,-72.71462261590713,41.74783950767202,-72.71466834916087,41.74783935702624,-72.71510911810259,41.74783778967859,-72.71512447244045,41.74783776687723,-72.71513242444924,41.74783771439457,-72.71513242444962,41.74783771438751,-72.71513714436229,41.74775121904658,-72.71513853120635,41.747725804151635,-72.7151396946915,41.747704426610916,-72.71514004867217,41.747697922637755,-72.71512894519906,41.74769794672587,-72.71510171785731,41.747698021681174,-72.7150430489609,41.747698222609046,-72.71462518419084,41.747699714398955,-72.71458044043791,41.747699892774214	182725	PIN	115474007		301001013		7911.362976	413.0787921	Old Style												
			Polygon	-72.71300832259057,41.747787951710556,-72.71303135554913,41.74779336619785,-72.7133642392514,41.74787161855105,-72.71337554507808,41.74787427638143,-72.71338479561305,41.74787645073527,-72.71344996460412,41.74777894538272,-72.71343676208085,41.74777483505846,-72.71309475651297,41.74766836184747,-72.7130110663285,41.747784061703335,-72.71300945260944,41.74778639383141,-72.71300832259057,41.747787951710556	182731	PIN	115474009		301001024		4699.508606	301.935412	Three Family												
			Polygon	-72.71294024850808,41.74788195519766,-72.7133332714422,41.74794295249823,-72.71333968264821,41.747943947624584,-72.71338479561305,41.74787645073527,-72.71337554507808,41.74787427638143,-72.7133642392514,41.74787161855105,-72.71303135554913,41.74779336619785,-72.71300832259057,41.747787951710556,-72.71294050524442,41.74788157107972,-72.71294024850808,41.74788195519766	182747	PIN	115474010		301001023		3538.680664	285.4653547	Two Family												
			Polygon	-72.71452781331202,41.747976034364555,-72.71456610751335,41.74797618334406,-72.71462877072496,41.747976476997366,-72.7150953735717,41.74797848519266,-72.71511545512003,41.74797857359375,-72.7151247629967,41.74797860385005,-72.71513105502571,41.747862906549294,-72.71513178425953,41.74784949164221,-72.71513242444924,41.74783771439457,-72.71512447244045,41.74783776687723,-72.71510911810259,41.74783778967859,-72.71466834916087,41.74783935702624,-72.71462261590713,41.74783950767202,-72.71455379614014,41.74783976098205,-72.71455361243333,41.74784063909799,-72.71452781331202,41.747976034364555	182756	PIN	115474006		301001014		8100.948547	422.3469324	Two Family												
			Polygon	-72.71294024850808,41.74788195519766,-72.71287009059161,41.74797897068626,-72.71286685853559,41.74799164825901,-72.71286937953157,41.74800476676903,-72.71287783813183,41.748016021073035,-72.71289091558104,41.74802458745918,-72.71290601077311,41.748029230159936,-72.71325834792898,41.74804188427849,-72.71327205298248,41.74804238261322,-72.71327384856458,41.74804244750398,-72.71333968264821,41.747943947624584,-72.7133332714422,41.74794295249823,-72.71294024850808,41.74788195519766	182782	PIN	115474011		301001022		5288.639343	315.5836922	Three Family												
			Polygon	-72.71327384856458,41.74804244750398,-72.71344849644666,41.7480487230566,-72.71346458339994,41.74804930445158,-72.71357368209576,41.747817461143235,-72.7135601005747,41.74781323322361,-72.71344996460412,41.74777894538272,-72.71338479561305,41.74787645073527,-72.71333968264821,41.747943947624584,-72.71327384856458,41.74804244750398	182787	PIN	115474012		301001021		4193.857605	285.6197591	Two Family												
			Polygon	-72.71346458339994,41.74804930445158,-72.71374033364224,41.74805921597929,-72.71376008505264,41.748059935698855,-72.71376273178097,41.748045171400804,-72.71385882016376,41.74751226154887,-72.7140217039639,41.74751999645668,-72.71404427553323,41.7475210737645,-72.71406278077717,41.7475219302585,-72.71420466647966,41.74752861553694,-72.71422646960995,41.74752977489945,-72.71422815524902,41.74752983030776,-72.71422819198504,41.747529665661865,-72.71423087201377,41.74752072011128,-72.71429111679173,41.747318649341096,-72.71429409168252,41.74730866105006,-72.71431788155357,41.74722886448709,-72.71430586476272,41.74722394849343,-72.71362259617317,41.746944063766726,-72.71353458125563,41.747064264150055,-72.71344656590311,41.74718465570539,-72.71335855019203,41.74730510207589,-72.71326385960452,41.74743465729001,-72.71309607678383,41.74766652359631,-72.71309475651297,41.74766836184747,-72.71343676208085,41.74777483505846,-72.71344996460412,41.74777894538272,-72.7135601005747,41.74781323322361,-72.71357368209576,41.747817461143235,-72.71346458339994,41.74804930445158	182793	PIN	116474021		301001025		64476.97345	1243.52403	OFFICE LO RI												
			Polygon	-72.71376008505264,41.748059935698855,-72.71392348316404,41.748065777346376,-72.71394275818977,41.74806649688568,-72.71394687483063,41.7480442968787,-72.71404173949692,41.7475346297607,-72.71404427553323,41.7475210737645,-72.7140217039639,41.74751999645668,-72.71385882016376,41.74751226154887,-72.71376273178097,41.748045171400804,-72.71376008505264,41.748059935698855	182797	PIN	115474013		301001019		10079.49847	502.6659724	Cape Cod												
			Polygon	-72.71394275818977,41.74806649688568,-72.71410644949658,41.74807233836568,-72.71412528363753,41.74807305773742,-72.7141297688333,41.748049019165315,-72.71422213248432,41.74755331955221,-72.71422646960995,41.74752977489945,-72.71420466647966,41.74752861553694,-72.71406278077717,41.7475219302585,-72.71404427553323,41.7475210737645,-72.71404173949692,41.7475346297607,-72.71394687483063,41.7480442968787,-72.71394275818977,41.74806649688568	182800	PIN	115474014		301001018		9950.943176	500.2407862	Old Style												
			Polygon	-72.71412528363753,41.74807305773742,-72.71428926926984,41.74807892649244,-72.71431121936496,41.748079729126665,-72.71431393928867,41.74806491081054,-72.71440751800604,41.74755617605567,-72.71441075245494,41.747538558719604,-72.71438697051907,41.7475373438955,-72.71422815524902,41.74752983030776,-72.71422646960995,41.74752977489945,-72.71422213248432,41.74755331955221,-72.7141297688333,41.748049019165315,-72.71412528363753,41.74807305773742	182802	PIN	115474015		301001017		10057.21832	500.1336624	APARTMENT												
			Polygon	-72.71431121936496,41.748079729126665,-72.71448359663965,41.748085902072205,-72.71450668156872,41.748086759904304,-72.71450925409928,41.748073341125355,-72.71452770310553,41.74797652830264,-72.71452781331202,41.747976034364555,-72.71455361243333,41.74784063909799,-72.71455379614014,41.74783976098205,-72.71457952166733,41.7477047224402,-72.71458044043791,41.747699892774214,-72.71460462220081,41.747573196386085,-72.7146051747022,41.7475701229522,-72.71460939981402,41.747548032723856,-72.71458547124587,41.747546900224386,-72.7145848116509,41.747546872579036,-72.71441075245494,41.747538558719604,-72.71440751800604,41.74755617605567,-72.71431393928867,41.74806491081054,-72.71431121936496,41.748079729126665	182807	PIN	115474016		301001016		10663.2243	505.0791866	Three Family												
			Polygon	-72.71450668156872,41.748086759904304,-72.71510541766928,41.74810829307148,-72.71511769248298,41.74810870842582,-72.71512351202526,41.74800124228069,-72.71512357880086,41.748000008933275,-72.71512406626266,41.74799119789393,-72.7151247629967,41.74797860385005,-72.71511545512003,41.74797857359375,-72.7150953735717,41.74797848519266,-72.71462877072496,41.747976476997366,-72.71456610751335,41.74797618334406,-72.71452781331202,41.747976034364555,-72.71452770310553,41.74797652830264,-72.71450925409928,41.748073341125355,-72.71450668156872,41.748086759904304	182815	PIN	115474005		301001015		7249.472717	418.0366591	Old Style												
			Polygon	-72.71255766215276,41.74840686894441,-72.71259415241026,41.74842183714908,-72.71266116118296,41.748449301732215,-72.71287281253417,41.748536089526795,-72.71287420619889,41.74853411408774,-72.71287849722353,41.74852802314855,-72.71291652951493,41.74847419244374,-72.71293578870056,41.748182837549024,-72.71293697174059,41.74816469818306,-72.71280538153235,41.74815903005278,-72.71277240121216,41.74815816868844,-72.71274792119071,41.748159779918566,-72.7127355317459,41.7481655389239,-72.71272636547761,41.74817409814315,-72.71271925074615,41.748183700854035,-72.71255766215276,41.74840686894441	182902	PIN	115473081		301002004		9369.045959	392.6430699	Three Family												
			Polygon	-72.71401000879409,41.748647895335495,-72.71406640515532,41.748650163226664,-72.71412320460716,41.74865245865848,-72.71412346346936,41.74864823253543,-72.7141465733372,41.74820962014206,-72.71359737916981,41.74819161032821,-72.71356367517438,41.74862991739842,-72.71401000879409,41.748647895335495	182936	PINCONDO	115473900		301002900		24344.46149	624.3923298	Condo Flat												
			Polygon	-72.71412320460716,41.74865245865848,-72.71428513804376,41.748658985409165,-72.71428536020441,41.74865484160307,-72.71431125413179,41.74821603793915,-72.7141465733372,41.74820962014206,-72.71412346346936,41.74864823253543,-72.71412320460716,41.74865245865848	182941	PIN	115473018		301002007		7206.71106	412.3105105	Two Family												
			Polygon	-72.7144796727577,41.74822251153762,-72.71441431540427,41.74865625358559,-72.71441313844343,41.748664074443425,-72.71506968216394,41.74866314988539,-72.71508749194402,41.748663127832046,-72.71508760137229,41.74866099665426,-72.71508775119824,41.74865807842055,-72.71509371029298,41.748548418473675,-72.71509499426224,41.74852487282716,-72.71510118661593,41.748411316091655,-72.71510452724289,41.74835005514853,-72.7151086629392,41.74827421372332,-72.71511018035864,41.748246469427876,-72.7149942000177,41.74824212577091,-72.71462573815313,41.74822820963939,-72.7144796727577,41.74822251153762	182945	PIN	115473004		301002001		27883.92023	670.1757009	APARTMENT												
			Polygon	-72.71428513804376,41.748658985409165,-72.71441160047212,41.74866407396913,-72.71441313844343,41.748664074443425,-72.71441431540427,41.74865625358559,-72.7144796727577,41.74822251153762,-72.71446838622168,41.74822206897683,-72.71431125413179,41.74821603793915,-72.71428536020441,41.74865484160307,-72.71428513804376,41.748658985409165	182946	PIN	115473017		301002008		6545.312561	404.4865626	Three Family												
			Polygon	-72.71287281253417,41.748536089526795,-72.71319137143746,41.74866668247528,-72.71319166814567,41.748660453036145,-72.71319348455552,41.748623927141864,-72.71319381818982,41.748617203742576,-72.71319814229304,41.74861734233607,-72.71342530401597,41.748625153449865,-72.71356367517438,41.74862991739842,-72.71359737916981,41.74819161032821,-72.71347531563562,41.74818772975428,-72.71298838401698,41.74816671801471,-72.71298222773972,41.74816646905403,-72.71294580304928,41.74816508521955,-72.71293697174059,41.74816469818306,-72.71293578870056,41.748182837549024,-72.71291652951493,41.74847419244374,-72.71287849722353,41.74852802314855,-72.71287420619889,41.74853411408774,-72.71287281253417,41.748536089526795	182947	PINCONDO	115473901		301002901		28939.67841	697.076225	Condo Flat												
			Polygon	-72.71401000879409,41.748647895335495,-72.71400878856093,41.74866754405704,-72.71398079353627,41.74912440436351,-72.71406811877435,41.749127889389676,-72.71430396660939,41.74913726572038,-72.71433016785178,41.74913831665154,-72.71505557841319,41.74885782540077,-72.71507731386488,41.748849407023975,-72.71507731386598,41.74884940700242,-72.7150787941611,41.748822595765276,-72.71508281951945,41.748748779055845,-72.71508627058286,41.74868549340956,-72.7150870184881,41.74867179788273,-72.7150874919439,41.74866312783417,-72.71508749194402,41.748663127832046,-72.71506968216394,41.74866314988539,-72.71441313844343,41.748664074443425,-72.71441160047212,41.74866407396913,-72.71428513804376,41.748658985409165,-72.71412320460716,41.74865245865848,-72.71406640515532,41.748650163226664,-72.71401000879409,41.748647895335495	183122	PIN	115473003		301002002		40538.95892	860.8735001	OFFICE LO RI												
			Polygon	-72.71255766215276,41.74840686894441,-72.71255692868733,41.7484078292073,-72.71220147353996,41.748897321752594,-72.71215746416193,41.74895820307638,-72.71212306244122,41.74900596984076,-72.71197107863733,41.749216104852756,-72.71189680965642,41.74931959488338,-72.71231542811563,41.749332071270054,-72.7127341592467,41.74933990162765,-72.71314202763341,41.749343078779646,-72.71316687358441,41.74934316904129,-72.71325468712,41.74934219122074,-72.71334244704985,41.749338971301796,-72.71347879624955,41.7493298057236,-72.71361465239612,41.74931503346841,-72.71374978504159,41.7492946795939,-72.71388396496529,41.749268778625606,-72.71401696456257,41.74923737449843,-72.71414855823096,41.74920052048206,-72.71427852275279,41.74915827909068,-72.71432126100719,41.74914174425768,-72.71433016785178,41.74913831665154,-72.71430396660939,41.74913726572038,-72.71406811877435,41.749127889389676,-72.71398079353627,41.74912440436351,-72.71400878856093,41.74866754405704,-72.71401000879409,41.748647895335495,-72.71356367517438,41.74862991739842,-72.71342530401597,41.748625153449865,-72.71319814229304,41.74861734233607,-72.71319381818982,41.748617203742576,-72.71319348455552,41.748623927141864,-72.71319166814567,41.748660453036145,-72.71319137143746,41.74866668247528,-72.71287281253417,41.748536089526795,-72.71266116118296,41.748449301732215,-72.71259415241026,41.74842183714908,-72.71255766215276,41.74840686894441	183160	PIN	115473082		301002003		137243.432	1761.482979	OFFICE/WHS												
			Polygon	-72.70951827352269,41.750073014657616,-72.70953528964924,41.75007368096965,-72.71022460359043,41.750108733615846,-72.7099939535266,41.750024666693236,-72.70978538650907,41.74994864776693,-72.70974359941644,41.75000928708984,-72.70973531786915,41.75002130503597,-72.70969695835116,41.75000642189678,-72.7096003108544,41.749968923436555,-72.70959977617606,41.74996871571263,-72.70958690803195,41.7499863175244,-72.70958341218646,41.74999109993573,-72.70957757240511,41.74999908719634,-72.70951827352269,41.750073014657616	183278	PIN	138482005		302003002		5087.62793	441.9676439													
			Polygon	-72.71424032812568,41.750968316688216,-72.714860720399,41.75097319999178,-72.71496322145377,41.75097402700036,-72.71497623104295,41.75097414072072,-72.71497623104321,41.750974140715954,-72.71497624624807,41.75097386250749,-72.71498222150508,41.750864425964444,-72.71498969720264,41.75072732367494,-72.71499607516702,41.750609921368216,-72.71499714422933,41.7505902213767,-72.715000940067,41.75052061663464,-72.71500461987243,41.75045311907227,-72.71500865556567,41.75037902455151,-72.71499641580861,41.750378636639404,-72.7149669157699,41.75037774951588,-72.71427474627491,41.750356708175794,-72.71424032812568,41.750968316688216	183381	PIN	115472002		302004001		44136.84113	841.3525774													
			Polygon	-72.70942577776891,41.75018832799042,-72.70856536980733,41.75126096376206,-72.70865753919135,41.751154008240434,-72.70888801273884,41.75093547042357,-72.7089968657708,41.75079957177152,-72.70934463427527,41.750341650190194,-72.70942577776891,41.75018832799042	183422	PIN	137482137		302003003		4271.598022	913.6174989													
			Polygon	-72.71087936315566,41.75072501554112,-72.71075682311226,41.75089498249198,-72.71060418148089,41.751087551954214,-72.71059361593117,41.75110596250891,-72.71058766709814,41.75112569189683,-72.71058626227644,41.75114577959361,-72.71058947486478,41.75116606096732,-72.71059745224098,41.751185246253286,-72.71060960817283,41.75120314315032,-72.71062608953517,41.75121928517862,-72.71064598055331,41.75123301339535,-72.71066569064638,41.75124295443176,-72.71096432658508,41.75136654871818,-72.71099550623892,41.75137830480595,-72.71119788357993,41.75099216960779,-72.71119279264929,41.750987173294504,-72.71102149586558,41.75081946709719,-72.71089595747172,41.750736080640685,-72.71087936315566,41.75072501554112	183444	PIN	138472003		302004005		22744.3136	602.2079862	CAR WASH												
			Polygon	-72.71099550623892,41.75137830480595,-72.71112048101965,41.75142612500165,-72.71116349561879,41.751441480045415,-72.71123131773136,41.751463210153645,-72.71141095106368,41.75098867347975,-72.71141010900214,41.75098730105491,-72.71130452162367,41.750815994774044,-72.71099776936255,41.75060277020344,-72.71097802505038,41.75058904209485,-72.71088545159957,41.750716620087665,-72.71087936315566,41.75072501554112,-72.71089595747172,41.750736080640685,-72.71102149586558,41.75081946709719,-72.71119279264929,41.750987173294504,-72.71119788357993,41.75099216960779,-72.71099550623892,41.75137830480595	183461	PIN	138472002		302004004		19397.57605	780.6470887													
